GenomeName	FastaLink	GtfLink	Notes	ChromLargerThan512Mbp
Human_ensemblv75	https://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/dna/Homo_sapiens.GRCh37.75.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-75/gtf/homo_sapiens/Homo_sapiens.GRCh37.75.gtf.gz	"Human, GRCh37.75, Homo sapiens"	F
Chicken_ensemblv84	https://ftp.ensembl.org/pub/release-84/fasta/gallus_gallus/dna/Gallus_gallus.Galgal4.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-84/gtf/gallus_gallus/Gallus_gallus.Galgal4.84.gtf.gz	"Chicken, Galgal4, Gallus gallus"	F
Macaque_ensemblv84	https://ftp.ensembl.org/pub/release-84/fasta/macaca_mulatta/dna/Macaca_mulatta.MMUL_1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-84/gtf/macaca_mulatta/Macaca_mulatta.MMUL_1.84.gtf.gz	"Macaque, MMUL_1, Macaca mulatta"	F
Opossum_ensemblv84	https://ftp.ensembl.org/pub/release-84/fasta/monodelphis_domestica/dna/Monodelphis_domestica.BROADO5.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-84/gtf/monodelphis_domestica/Monodelphis_domestica.BROADO5.84.gtf.gz	"Opossum, BROADO5, Monodelphis domestica"	T
Mouse_ensemblv84	https://ftp.ensembl.org/pub/release-84/fasta/mus_musculus/dna/Mus_musculus.GRCm38.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-84/gtf/mus_musculus/Mus_musculus.GRCm38.84.gtf.gz	"Mouse, GRCm38, Mus musculus"	F
Rabbit_ensemblv_84	https://ftp.ensembl.org/pub/release-84/fasta/oryctolagus_cuniculus/dna/Oryctolagus_cuniculus.OryCun2.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-84/gtf/oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0.84.gtf.gz	"Rabbit, OryCun2.0, Oryctolagus cuniculus"	F
Rat_ensemblv_79	https://ftp.ensembl.org/pub/release-79/fasta/rattus_norvegicus/dna/Rattus_norvegicus.Rnor_5.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-79/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_5.0.79.gtf.gz	"Rat, Rnor_5.0, Rattus norvegicus"	F
Lamprey_ensemblv_112	https://ftp.ensembl.org/pub/release-112/fasta/petromyzon_marinus/dna/Petromyzon_marinus.Pmarinus_7.0.dna_sm.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-112/gtf/petromyzon_marinus/Petromyzon_marinus.Pmarinus_7.0.112.gtf.gz	"Sea lamprey, Pmarinus_7.0, Petromyzon marinus"	F
