sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4659261	ERR2576395	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576395/ERR2576395.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576395/ERR2576395.fastq.gz	E-MTAB-6769:1724sTS.Chicken.Heart.10.Male
SAMEA4659255	ERR2576389	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576389/ERR2576389.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576389/ERR2576389.fastq.gz	E-MTAB-6769:1331sTS.Chicken.Ovary.10.Female
SAMEA4659262	ERR2576396	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576396/ERR2576396.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576396/ERR2576396.fastq.gz	E-MTAB-6769:1729sTS.Chicken.Heart.10.Male
SAMEA4659256	ERR2576390	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576390/ERR2576390.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576390/ERR2576390.fastq.gz	E-MTAB-6769:1348sTS.Chicken.Ovary.10.Female
SAMEA4659266	ERR2576400	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576400/ERR2576400.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576400/ERR2576400.fastq.gz	E-MTAB-6769:1731sTS.Chicken.Liver.10.Male
SAMEA4659264	ERR2576398	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576398/ERR2576398.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576398/ERR2576398.fastq.gz	E-MTAB-6769:1725sTS.Chicken.Kidney.10.Male
SAMEA4659270	ERR2576404	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576404/ERR2576404.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576404/ERR2576404.fastq.gz	E-MTAB-6769:1350sTS.Chicken.Brain.12.Female
SAMEA4659267	ERR2576401	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576401/ERR2576401.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576401/ERR2576401.fastq.gz	E-MTAB-6769:1738sTS.Chicken.Liver.10.Male
SAMEA4659268	ERR2576402	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576402/ERR2576402.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576402/ERR2576402.fastq.gz	E-MTAB-6769:1715sTS.Chicken.Testis.10.Male
SAMEA4659271	ERR2576405	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576405/ERR2576405.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576405/ERR2576405.fastq.gz	E-MTAB-6769:1553sTS.Chicken.Brain.12.Female
SAMEA4659272	ERR2576406	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576406/ERR2576406.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576406/ERR2576406.fastq.gz	E-MTAB-6769:1477sTS.Chicken.Cerebellum.12.Female
SAMEA4659273	ERR2576407	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576407/ERR2576407.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576407/ERR2576407.fastq.gz	E-MTAB-6769:1808sTS.Chicken.Cerebellum.12.Female
SAMEA4659275	ERR2576409	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576409/ERR2576409.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576409/ERR2576409.fastq.gz	E-MTAB-6769:1473sTS.Chicken.Heart.12.Female
SAMEA4659277	ERR2576411	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576411/ERR2576411.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576411/ERR2576411.fastq.gz	E-MTAB-6769:1560sTS.Chicken.Kidney.12.Female
SAMEA4659280	ERR2576414	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576414/ERR2576414.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576414/ERR2576414.fastq.gz	E-MTAB-6769:1351sTS.Chicken.Ovary.12.Female
SAMEA4659276	ERR2576410	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576410/ERR2576410.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576410/ERR2576410.fastq.gz	E-MTAB-6769:1478sTS.Chicken.Kidney.12.Female
SAMEA4659283	ERR2576417	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576417/ERR2576417.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576417/ERR2576417.fastq.gz	E-MTAB-6769:1364sTS.Chicken.Brain.12.Male
SAMEA4659278	ERR2576412	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576412/ERR2576412.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576412/ERR2576412.fastq.gz	E-MTAB-6769:1537sTS.Chicken.Liver.12.Female
SAMEA4659285	ERR2576419	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576419/ERR2576419.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576419/ERR2576419.fastq.gz	E-MTAB-6769:1608sTS.Chicken.Cerebellum.12.Male
SAMEA4659289	ERR2576423	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576423/ERR2576423.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576423/ERR2576423.fastq.gz	E-MTAB-6769:1609sTS.Chicken.Kidney.12.Male
SAMEA4659279	ERR2576413	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576413/ERR2576413.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576413/ERR2576413.fastq.gz	E-MTAB-6769:1874sTSb.Chicken.Liver.12.Female
SAMEA4659290	ERR2576424	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576424/ERR2576424.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576424/ERR2576424.fastq.gz	E-MTAB-6769:1535sTS.Chicken.Liver.12.Male
SAMEA4659292	ERR2576426	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576426/ERR2576426.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576426/ERR2576426.fastq.gz	E-MTAB-6769:1354sTS.Chicken.Testis.12.Male
SAMEA4659281	ERR2576415	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576415/ERR2576415.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576415/ERR2576415.fastq.gz	E-MTAB-6769:1368sTS.Chicken.Ovary.12.Female
SAMEA4659297	ERR2576431	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576431/ERR2576431.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576431/ERR2576431.fastq.gz	E-MTAB-6769:1809sTS.Chicken.Cerebellum.14.Female
SAMEA4659286	ERR2576420	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576420/ERR2576420.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576420/ERR2576420.fastq.gz	E-MTAB-6769:1471sTS.Chicken.Heart.12.Male
SAMEA4659298	ERR2576432	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576432/ERR2576432.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576432/ERR2576432.fastq.gz	E-MTAB-6769:1432sTS.Chicken.Heart.14.Female
