sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4659354	ERR2576488	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576488/ERR2576488.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576488/ERR2576488.fastq.gz	E-MTAB-6769:1539sTS.Chicken.Brain.0dph.Male
SAMEA4659365	ERR2576499	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576499/ERR2576499.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576499/ERR2576499.fastq.gz	E-MTAB-6769:1662sTS.Chicken.Testis.0dph.Male
SAMEA4659366	ERR2576500	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576500/ERR2576500.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576500/ERR2576500.fastq.gz	E-MTAB-6769:577sTS.Chicken.Brain.Adult.Female
SAMEA4659367	ERR2576501	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576501/ERR2576501.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576501/ERR2576501.fastq.gz	E-MTAB-6769:783sTS.Chicken.Brain.Adult.Female
SAMEA4659368	ERR2576502	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576502/ERR2576502.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576502/ERR2576502.fastq.gz	E-MTAB-6769:578sTS.Chicken.Cerebellum.Adult.Female
SAMEA4659369	ERR2576503	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576503/ERR2576503.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576503/ERR2576503.fastq.gz	E-MTAB-6769:782sTS.Chicken.Cerebellum.Adult.Female
SAMEA4659372	ERR2576506	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576506/ERR2576506.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576506/ERR2576506.fastq.gz	E-MTAB-6769:559sTS.Chicken.Kidney.Adult.Female
SAMEA4659370	ERR2576504	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576504/ERR2576504.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576504/ERR2576504.fastq.gz	E-MTAB-6769:560sTS.Chicken.Heart.Adult.Female
SAMEA4659378	ERR2576512	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576512/ERR2576512.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576512/ERR2576512.fastq.gz	E-MTAB-6769:653sTS.Chicken.Brain.Adult.Male
SAMEA4659371	ERR2576505	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576505/ERR2576505.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576505/ERR2576505.fastq.gz	E-MTAB-6769:785sTS.Chicken.Heart.Adult.Female
SAMEA4659379	ERR2576513	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576513/ERR2576513.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576513/ERR2576513.fastq.gz	E-MTAB-6769:922sTS.Chicken.Brain.Adult.Male
SAMEA4659373	ERR2576507	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576507/ERR2576507.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576507/ERR2576507.fastq.gz	E-MTAB-6769:784sTS.Chicken.Kidney.Adult.Female
SAMEA4659375	ERR2576509	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576509/ERR2576509.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576509/ERR2576509.fastq.gz	E-MTAB-6769:786sTS.Chicken.Liver.Adult.Female
SAMEA4659382	ERR2576516	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576516/ERR2576516.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576516/ERR2576516.fastq.gz	E-MTAB-6769:650sTS.Chicken.Heart.Adult.Male
SAMEA4659376	ERR2576510	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576510/ERR2576510.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576510/ERR2576510.fastq.gz	E-MTAB-6769:561sTS.Chicken.Ovary.Adult.Female
SAMEA4659389	ERR2576523	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576523/ERR2576523.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576523/ERR2576523.fastq.gz	E-MTAB-6769:920sTS.Chicken.Testis.Adult.Male
SAMEA4659381	ERR2576515	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576515/ERR2576515.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576515/ERR2576515.fastq.gz	E-MTAB-6769:921sTS.Chicken.Cerebellum.Adult.Male
SAMEA4659395	ERR2576529	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576529/ERR2576529.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576529/ERR2576529.fastq.gz	E-MTAB-6769:2431sTS.Chicken.Heart.5wph.Female
SAMEA4659383	ERR2576517	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576517/ERR2576517.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576517/ERR2576517.fastq.gz	E-MTAB-6769:764sTS.Chicken.Heart.Adult.Male
SAMEA4659396	ERR2576530	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576530/ERR2576530.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576530/ERR2576530.fastq.gz	E-MTAB-6769:2433sTS.Chicken.Kidney.5wph.Female
SAMEA4659384	ERR2576518	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576518/ERR2576518.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576518/ERR2576518.fastq.gz	E-MTAB-6769:555sTS.Chicken.Kidney.Adult.Male
SAMEA4659399	ERR2576533	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576533/ERR2576533.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576533/ERR2576533.fastq.gz	E-MTAB-6769:1871sTS.Chicken.Liver.5wph.Female
SAMEA4659386	ERR2576520	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576520/ERR2576520.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576520/ERR2576520.fastq.gz	E-MTAB-6769:554sTS.Chicken.Liver.Adult.Male
SAMEA4659400	ERR2576534	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576534/ERR2576534.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576534/ERR2576534.fastq.gz	E-MTAB-6769:1761sTS.Chicken.Ovary.5wph.Female
SAMEA4659390	ERR2576524	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576524/ERR2576524.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576524/ERR2576524.fastq.gz	E-MTAB-6769:1757sTS.Chicken.Brain.5wph.Female
SAMEA4659392	ERR2576526	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576526/ERR2576526.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576526/ERR2576526.fastq.gz	E-MTAB-6769:1758sTSm.Chicken.Cerebellum.5wph.Female
SAMEA4659401	ERR2576535	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576535/ERR2576535.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576535/ERR2576535.fastq.gz	E-MTAB-6769:1768sTS.Chicken.Ovary.5wph.Female
SAMEA4659393	ERR2576527	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576527/ERR2576527.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576527/ERR2576527.fastq.gz	E-MTAB-6769:1867sTS.Chicken.Cerebellum.5wph.Female
SAMEA4659407	ERR2576541	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576541/ERR2576541.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576541/ERR2576541.fastq.gz	E-MTAB-6769:2432sTS.Chicken.Heart.5wph.Male
SAMEA4659394	ERR2576528	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576528/ERR2576528.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576528/ERR2576528.fastq.gz	E-MTAB-6769:1759sTS.Chicken.Heart.5wph.Female
SAMEA4659410	ERR2576544	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576544/ERR2576544.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576544/ERR2576544.fastq.gz	E-MTAB-6769:1766sTS.Chicken.Liver.5wph.Male
SAMEA4659402	ERR2576536	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576536/ERR2576536.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576536/ERR2576536.fastq.gz	E-MTAB-6769:1763sTS.Chicken.Brain.5wph.Male
SAMEA4659411	ERR2576545	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576545/ERR2576545.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576545/ERR2576545.fastq.gz	E-MTAB-6769:1870sTS.Chicken.Liver.5wph.Male
SAMEA4659406	ERR2576540	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576540/ERR2576540.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576540/ERR2576540.fastq.gz	E-MTAB-6769:1765sTS.Chicken.Heart.5wph.Male
SAMEA4659416	ERR2576550	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576550/ERR2576550.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576550/ERR2576550.fastq.gz	E-MTAB-6769:1665sTSm.Chicken.Cerebellum.7dph.Female
SAMEA4659408	ERR2576542	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576542/ERR2576542.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576542/ERR2576542.fastq.gz	E-MTAB-6769:2434sTS.Chicken.Kidney.5wph.Male
SAMEA4659420	ERR2576553	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576553/ERR2576553.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576553/ERR2576553.fastq.gz	E-MTAB-6769:1684sTS.Chicken.Heart.7dph.Female
SAMEA4659414	ERR2576548	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576548/ERR2576548.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576548/ERR2576548.fastq.gz	E-MTAB-6769:1682sTS.Chicken.Brain.7dph.Female
SAMEA4659421	ERR2576554	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576554/ERR2576554.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576554/ERR2576554.fastq.gz	E-MTAB-6769:1667sTS.Chicken.Kidney.7dph.Female
SAMEA4659415	ERR2576549	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576549/ERR2576549.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576549/ERR2576549.fastq.gz	E-MTAB-6769:1803sTS.Chicken.Brain.7dph.Female
SAMEA4659417	ERR2576551	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576551/ERR2576551.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576551/ERR2576551.fastq.gz	E-MTAB-6769:1812sTS.Chicken.Cerebellum.7dph.Female
SAMEA4659422	ERR2576555	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576555/ERR2576555.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576555/ERR2576555.fastq.gz	E-MTAB-6769:1685sTS.Chicken.Kidney.7dph.Female
SAMEA4659424	ERR2576557	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576557/ERR2576557.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576557/ERR2576557.fastq.gz	E-MTAB-6769:1686sTSm.Chicken.Liver.7dph.Female
SAMEA4659423	ERR2576556	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576556/ERR2576556.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576556/ERR2576556.fastq.gz	E-MTAB-6769:1668sTS.Chicken.Liver.7dph.Female
SAMEA4659425	ERR2576558	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576558/ERR2576558.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576558/ERR2576558.fastq.gz	E-MTAB-6769:1669sTS.Chicken.Ovary.7dph.Female
SAMEA4659426	ERR2576559	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576559/ERR2576559.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576559/ERR2576559.fastq.gz	E-MTAB-6769:1687sTS.Chicken.Ovary.7dph.Female
SAMEA4659429	ERR2576562	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576562/ERR2576562.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576562/ERR2576562.fastq.gz	E-MTAB-6769:1648sTS.Chicken.Cerebellum.7dph.Male
SAMEA4659432	ERR2576565	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576565/ERR2576565.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576565/ERR2576565.fastq.gz	E-MTAB-6769:1656sTS.Chicken.Heart.7dph.Male
SAMEA4659430	ERR2576563	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576563/ERR2576563.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576563/ERR2576563.fastq.gz	E-MTAB-6769:1655sTS.Chicken.Cerebellum.7dph.Male
SAMEA4659443	ERR2576576	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576576/ERR2576576.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576576/ERR2576576.fastq.gz	E-MTAB-6769:1777sTS.Chicken.Heart.10wph.Female
SAMEA4659437	ERR2576570	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576570/ERR2576570.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576570/ERR2576570.fastq.gz	E-MTAB-6769:1652sTS.Chicken.Testis.7dph.Male
SAMEA4659445	ERR2576578	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576578/ERR2576578.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576578/ERR2576578.fastq.gz	E-MTAB-6769:1778sTS.Chicken.Kidney.10wph.Female
SAMEA4659441	ERR2576574	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576574/ERR2576574.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576574/ERR2576574.fastq.gz	E-MTAB-6769:1776sTSm.Chicken.Cerebellum.10wph.Female
SAMEA4659447	ERR2576580	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576580/ERR2576580.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576580/ERR2576580.fastq.gz	E-MTAB-6769:1779sTS.Chicken.Liver.10wph.Female
SAMEA4659442	ERR2576575	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576575/ERR2576575.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576575/ERR2576575.fastq.gz	E-MTAB-6769:1869sTS.Chicken.Cerebellum.10wph.Female
SAMEA4659450	ERR2576583	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576583/ERR2576583.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576583/ERR2576583.fastq.gz	E-MTAB-6769:1781sTS.Chicken.Ovary.10wph.Female
SAMEA4659444	ERR2576577	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576577/ERR2576577.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576577/ERR2576577.fastq.gz	E-MTAB-6769:2457sTS.Chicken.Heart.10wph.Female
SAMEA4659449	ERR2576582	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576582/ERR2576582.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576582/ERR2576582.fastq.gz	E-MTAB-6769:1780sTS.Chicken.Ovary.10wph.Female
SAMEA4659452	ERR2576585	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576585/ERR2576585.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576585/ERR2576585.fastq.gz	E-MTAB-6769:3920sTS.Chicken.Brain.10wph.Male
SAMEA4659453	ERR2576586	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576586/ERR2576586.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576586/ERR2576586.fastq.gz	E-MTAB-6769:1770sTS.Chicken.Cerebellum.10wph.Male
SAMEA4659454	ERR2576587	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576587/ERR2576587.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576587/ERR2576587.fastq.gz	E-MTAB-6769:1868sTS.Chicken.Cerebellum.10wph.Male
SAMEA4659457	ERR2576590	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576590/ERR2576590.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576590/ERR2576590.fastq.gz	E-MTAB-6769:1772sTS.Chicken.Kidney.10wph.Male
SAMEA4659456	ERR2576589	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576589/ERR2576589.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576589/ERR2576589.fastq.gz	E-MTAB-6769:2455sTS.Chicken.Heart.10wph.Male
SAMEA4659458	ERR2576591	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576591/ERR2576591.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576591/ERR2576591.fastq.gz	E-MTAB-6769:2456sTS.Chicken.Kidney.10wph.Male
SAMEA4659460	ERR2576593	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576593/ERR2576593.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576593/ERR2576593.fastq.gz	E-MTAB-6769:1872sTS.Chicken.Liver.10wph.Male
SAMEA4659461	ERR2576594	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576594/ERR2576594.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576594/ERR2576594.fastq.gz	E-MTAB-6769:1773sTS.Chicken.Testis.10wph.Male
SAMEA4659462	ERR2576595	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576595/ERR2576595.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576595/ERR2576595.fastq.gz	E-MTAB-6769:1782sTS.Chicken.Testis.10wph.Male
