"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1477	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e12	Female	OBIWAN 43 lane 6	e12	31609171	29869570	94%	QIAgen RNeasy QIAzol	9.2	NA	NA
1478	yes	Chicken (red junglefowl)	Kidney	e12	Female	VADER 177 lane 6	e12	39758937	37432275	94%	QIAgen RNeasy QIAzol	9.1	NA	NA
1533	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e12	Male	OBIWAN 42 lane 7	e12	48978101	37400120	76%	QIAgen RNeasy QIAzol	9.3	NA	NA
1534	yes	Chicken (red junglefowl)	Kidney	e12	Male	VADER 177 lane 7	e12	37969359	35824144	94%	QIAgen RNeasy QIAzol	9.3	NA	NA
1535	yes	Chicken (red junglefowl)	Liver	e12	Male	OBIWAN 47 lane 6	e12	25353327	24551597	97%	QIAgen RNeasy QIAzol	9.1	NA	NA
1537	yes	Chicken (red junglefowl)	Liver	e12	Female	VADER 126 lane 2	e12	29467023	28648445	97%	QIAgen RNeasy QIAzol	9.1	NA	NA
1553	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e12	Female	OBIWAN 47 lane 7	e12	23031728	22234451	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
1560	yes	Chicken (red junglefowl)	Kidney	e12	Female	OBIWAN 94 lane 3	e12	44379490	42351717	95%	QIAgen RNeasy QIAzol	9.2	NA	NA
1608	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e12	Male	OBIWAN 45 lane 8	e12	27455885	25800499	94%	QIAgen RNeasy QIAzol	9	NA	NA
1609	yes	Chicken (red junglefowl)	Kidney	e12	Male	OBIWAN 94 lane 3	e12	33533838	31904579	95%	QIAgen RNeasy QIAzol	9.4	NA	NA
1610	yes	Chicken (red junglefowl)	Liver	e12	Male	OBIWAN 44 lane 7	e12	40370679	38290078	95%	QIAgen RNeasy QIAzol	9.2	NA	NA
1808	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e12	Female	OBIWAN 47 lane 5	e12	26659356	25489220	96%	QIAgen RNeasy QIAzol	NA	9.9	NA
1874	yes	Chicken (red junglefowl)	Liver	e12	Female	OBIWAN 133 lane 7	e12	24487922	23818787	97%	QIAgen RNeasy QIAzol	8.5	NA	NA
1338	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Male	OBIWAN 20 lane 5	e14	35768420	34010606	95%	QIAgen RNeasy QIAzol	8	NA	NA
1339	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e14	Male	OBIWAN 45 lane 8	e14	18443696	17315887	94%	QIAgen RNeasy QIAzol	8.7	NA	NA
1340	yes	Chicken (red junglefowl)	Heart	e14	Male	OBIWAN 94 lane 2	e14	34492689	33123711	96%	QIAgen RNeasy QIAzol	8.7	NA	NA
1341	yes	Chicken (red junglefowl)	Kidney	e14	Male	VADER 177 lane 5	e14	36849281	35165002	95%	QIAgen RNeasy QIAzol	8.6	NA	NA
1342	yes	Chicken (red junglefowl)	Liver	e14	Male	OBIWAN 47 lane 6	e14	24695899	23864856	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
1417	yes	Chicken (red junglefowl)	Testis	e14	Male	OBIWAN 20 lane 5	e14	35982326	33804964	94%	QIAgen RNeasy QIAzol	7.3	NA	NA
1420	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Female	OBIWAN 20 lane 5	e14	28847940	27502823	95%	QIAgen RNeasy QIAzol	7.3	NA	NA
1421	yes	Chicken (red junglefowl)	Ovary	e14	Female	OBIWAN 20 lane 5	e14	32362295	30469728	94%	QIAgen RNeasy QIAzol	8.4	NA	NA
1432	yes	Chicken (red junglefowl)	Heart	e14	Female	OBIWAN 94 lane 2	e14	49685356	47904365	96%	QIAgen RNeasy QIAzol	8.6	NA	NA
1433	yes	Chicken (red junglefowl)	Kidney	e14	Female	VADER 177 lane 5	e14	38444437	36587812	95%	QIAgen RNeasy QIAzol	9	NA	NA
1434	yes	Chicken (red junglefowl)	Liver	e14	Female	VADER 126 lane 2	e14	33329310	32010978	96%	QIAgen RNeasy QIAzol	9.1	NA	NA
