"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
5548	Yes	Human	Liver	newborn	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	15 days post birth	23596165	23438580	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5834	Yes	Human	Kidney	newborn	Male	OBIWAN 200 lane 6	34 days post birth	33080471	32390517	98%	QIAgen RNeasy DTT	NA	NA	NA
5842	Yes	Human	Hindbrain/Cerebellum	newborn	Female	OBIWAN 198 lane 4	0 days post birth	29920443	29694829	99%	QIAgen RNeasy DTT	8.1	NA	NA
5843	Yes	Human	Heart	newborn	Female	OBIWAN 200 lane 8	0 days post birth	40894245	39733035	97%	QIAgen RNeasy DTT	7.8	NA	NA
5844	Yes	Human	Kidney	newborn	Female	OBIWAN 203 lane 5	0 days post birth	29328200	28611989	98%	QIAgen RNeasy DTT	6	NA	NA
5848	Yes	Human	Hindbrain/Cerebellum	newborn	Female	OBIWAN 200 lane 8	0 days post birth	12395552	12216004	99%	QIAgen RNeasy DTT	7	NA	NA
5850	No	Human	Heart	newborn	Male	OBIWAN 203 lane 8	6 days post birth	16973856	16412549	97%	QIAgen RNeasy DTT	8	NA	NA
5892	Yes	Human	Forebrain/Cerebrum	newborn	Male	OBIWAN 198 lane 6	4 days post birth	23864351	23625936	99%	QIAgen RNeasy DTT	8.1	NA	NA
5894	Yes	Human	Forebrain/Cerebrum	newborn	Female	OBIWAN 203 lane 6	15 days post birth	23772986	23263712	98%	QIAgen RNeasy DTT	7.2	NA	NA
5905	Yes	Human	Heart	newborn	Male	OBIWAN 203 lane 4	94 days post birth	26983321	26580518	99%	QIAgen RNeasy DTT	7.2	NA	NA
6098	Yes	Human	Kidney	newborn	Female	OBIWAN 203 lane 6	18 days post birth	37801770	36725734	97%	QIAgen RNeasy DTT	6.3	NA	NA
5516	Yes	Human	Hindbrain/Cerebellum	olderMidAge	Male	WINDU 52 lane 3	53 years post birth	26602047	26395538	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5517	Yes	Human	Forebrain/Cerebrum	olderMidAge	Male	WINDU 52 lane 3	50 years post birth	57101240	56680771	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5549	Yes	Human	Hindbrain/Cerebellum	olderMidAge	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	50 years post birth	96476395	95868610	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5557	Yes	Human	Forebrain/Cerebrum	olderMidAge	Male	WINDU 52 lane 7	53 years post birth	29003519	28627513	99%	QIAgen RNeasy QIAzol	NA	NA	NA
6043	Yes	Human	Heart	olderMidAge	Male	OBIWAN 203 lane 6	54 years post birth	33098616	29684593	90%	QIAgen RNeasy QIAzol	NA	NA	NA
6095	Yes	Human	Testis	olderMidAge	Male	OBIWAN 203 lane 7	46 years post birth	44534931	44047446	99%	QIAgen RNeasy DTT	7.4	NA	NA
6106	Yes	Human	Liver	olderMidAge	Male	OBIWAN 203 lane 7	55 years post birth	36843814	36106221	98%	QIAgen RNeasy DTT	8.1	NA	NA
5526	Yes	Human	Testis	oldTeenager	Male	WINDU 52 lane 5	16 years post birth	28086888	27861928	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5546	Yes	Human	Testis	oldTeenager	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	17 years post birth	75829169	75406028	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5513	Yes	Human	Liver	school	Male	WINDU 52 lane 3	7 years post birth	24644517	24466180	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5537	Yes	Human	Forebrain/Cerebrum	school	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	8 years post birth	23687506	23552631	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5562	Yes	Human	Hindbrain/Cerebellum	school	Male	OBIWAN 157 lane 7	8 years post birth	29594665	29423476	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5567	Yes	Human	Hindbrain/Cerebellum	school	Male	WINDU 52 lane 8	7 years post birth	37364165	37121002	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5569	Yes	Human	Forebrain/Cerebrum	school	Male	WINDU 52 lane 8	7 years post birth	44770441	31722344	71%	QIAgen RNeasy QIAzol	NA	NA	NA
6046	Yes	Human	Hindbrain/Cerebellum	school	Female	WINDU 107 lane 3	8 years post birth	24117708	24010143	100%	QIAgen RNeasy DTT	8.2	NA	NA
6099	Yes	Human	Kidney	school	Female	OBIWAN 203 lane 6	8 years post birth	35458622	33986238	96%	QIAgen RNeasy DTT	NA	NA	NA
5512	Yes	Human	Liver	senior	Male	WINDU 52 lane 3	58 years post birth	28444601	28240751	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5514	Yes	Human	Forebrain/Cerebrum	senior	Male	WINDU 52 lane 3	58 years post birth	31095022	30831113	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5518	Yes	Human	Testis	senior	Male	WINDU 52 lane 4	55 years post birth	25989887	25802362	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5524	Yes	Human	Forebrain/Cerebrum	senior	Male	WINDU 52 lane 4	58 years post birth	41548509	41252597	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5525	Yes	Human	Hindbrain/Cerebellum	senior	Male	WINDU 52 lane 4	58 years post birth	32556733	32339572	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5571	Yes	Human	Liver	senior	Male	WINDU 52 lane 8	58 years post birth	25529516	25292965	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5573	Yes	Human	Hindbrain/Cerebellum	senior	Male	WINDU 52 lane 8	58 years post birth	45094496	44893701	100%	QIAgen RNeasy QIAzol	NA	NA	NA
5511	Yes	Human	Hindbrain/Cerebellum	teenager	Male	WINDU 52 lane 3	13 years post birth	24905151	24692408	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5515	Yes	Human	Forebrain/Cerebrum	teenager	Male	WINDU 52 lane 3	14 years post birth	19197132	19065795	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5532	Yes	Human	Forebrain/Cerebrum	teenager	Male	WINDU 52 lane 5	16 years post birth	44823680	44475885	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5534	Yes	Human	Hindbrain/Cerebellum	teenager	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	16 years post birth	100922969	100258440	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5545	Yes	Human	Hindbrain/Cerebellum	teenager	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	14 years post birth	86462851	69247342	80%	QIAgen RNeasy QIAzol	NA	NA	NA
5553	No	Human	Forebrain/Cerebrum	teenager	Male	WINDU 52 lane 7	17 years post birth	34184409	33754624	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5565	Yes	Human	Hindbrain/Cerebellum	teenager	Male	OBIWAN 157 lane 7	17 years post birth	45058811	44798162	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5570	Yes	Human	Forebrain/Cerebrum	teenager	Male	WINDU 52 lane 8	13 years post birth	22259816	22140525	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5575	Yes	Human	Liver	teenager	Male	OBIWAN 180	17 years post birth	35257951	34642792	98%	QIAgen RNeasy QIAzol	NA	NA	NA
5822	Yes	Human	Heart	teenager	Male	OBIWAN 200 lane 7	13 years post birth	22150161	21540206	97%	QIAgen RNeasy DTT	7.4	NA	NA
5543	Yes	Human	Forebrain/Cerebrum	toddler	Female	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	2 years post birth	57094910	56676856	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5556	Yes	Human	Liver	toddler	Female	WINDU 52 lane 7	2 years post birth	25045771	24779735	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5559	Yes	Human	Hindbrain/Cerebellum	toddler	Female	OBIWAN 157 lane 7	2 years post birth	28690375	28480175	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5821	Yes	Human	Kidney	toddler	Male	OBIWAN 203 lane 3	2 years post birth	28825046	28455589	99%	QIAgen RNeasy DTT	7.6	NA	NA
5837	Yes	Human	Forebrain/Cerebrum	toddler	Male	OBIWAN 200 lane 5	4 years post birth	34844843	33246832	95%	QIAgen RNeasy DTT	6.5	NA	NA
5839	Yes	Human	Heart	toddler	Male	OBIWAN 200 lane 8	2 years post birth	13262802	12987030	98%	QIAgen RNeasy DTT	7.7	NA	NA
5841	Yes	Human	Testis	toddler	Male	OBIWAN 203 lane 4	1 year post birth	30845577	30089533	98%	QIAgen RNeasy DTT	8.1	NA	NA
5846	Yes	Human	Hindbrain/Cerebellum	toddler	Male	OBIWAN 198 lane 7	4 years post birth	25005126	24838083	99%	QIAgen RNeasy DTT	7	NA	NA
5904	Yes	Human	Forebrain/Cerebrum	toddler	Male	OBIWAN 200 lane 7	4 years post birth	25644460	25092543	98%	QIAgen RNeasy DTT	6.8	NA	NA
6100	Yes	Human	Heart	toddler	Female	OBIWAN 203 lane 6	4 years post birth	23967791	17343938	72%	QIAgen RNeasy DTT	8.3	NA	NA
6101	Yes	Human	Kidney	toddler	Female	OBIWAN 203 lane 6	4 years post birth	33006666	31361879	95%	QIAgen RNeasy DTT	5.2	NA	NA
5520	Yes	Human	Hindbrain/Cerebellum	youngAdult	Male	WINDU 52 lane 4	29 years post birth	43948384	43656318	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5531	Yes	Human	Forebrain/Cerebrum	youngAdult	Male	WINDU 52 lane 5	29 years post birth	53053623	52660276	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5535	Yes	Human	Testis	youngAdult	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	29 years post birth	57721711	57223257	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5536	Yes	Human	Liver	youngAdult	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	29 years post birth	30896448	30668407	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5540	Yes	Human	Hindbrain/Cerebellum	youngAdult	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	29 years post birth	107812179	90884456	84%	QIAgen RNeasy QIAzol	NA	NA	NA
5551	Yes	Human	Liver	youngAdult	Male	WINDU 52 lane 7	39 years post birth	27123189	26836930	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5563	Yes	Human	Liver	youngAdult	Male	OBIWAN 157 lane 7	39 years post birth	33044165	32863201	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5566	Yes	Human	Testis	youngAdult	Male	WINDU 52 lane 8	29 years post birth	31821758	31651416	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5908	Yes	Human	Forebrain/Cerebrum	youngAdult	Male	OBIWAN 203 lane 5	29 years post birth	55270908	54336004	98%	QIAgen RNeasy DTT	7.9	NA	NA
6042	Yes	Human	Heart	youngAdult	Male	WINDU 107 lane 3	25 years post birth	29787570	29349217	99%	QIAgen RNeasy QIAzol	6.5	NA	NA
6047	Yes	Human	Hindbrain/Cerebellum	youngAdult	Female	OBIWAN 203 lane 6	32 years post birth	33016102	32217193	98%	QIAgen RNeasy DTT	6	NA	NA
6048	Yes	Human	Forebrain/Cerebrum	youngAdult	Male	WINDU 107 lane 3	28 years post birth	41078692	40552424	99%	QIAgen RNeasy DTT	6.6	NA	NA
6107	Yes	Human	Testis	youngAdult	Male	OBIWAN 203 lane 7	28 years post birth	35544053	32348958	91%	QIAgen RNeasy DTT	9	NA	NA
5522	Yes	Human	Hindbrain/Cerebellum	youngMidAge	Male	WINDU 52 lane 4	39 years post birth	23644529	23475333	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5533	Yes	Human	Forebrain/Cerebrum	youngMidAge	Male	WINDU 52 lane 5	39 years post birth	24763031	24463829	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5547	Yes	Human	Hindbrain/Cerebellum	youngMidAge	Male	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	39 years post birth	100732386	100047467	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5550	Yes	Human	Testis	youngMidAge	Male	WINDU 52 lane 7	39 years post birth	41199601	40784899	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5574	Yes	Human	Forebrain/Cerebrum	youngMidAge	Male	OBIWAN 180	39 years post birth	57191632	55934419	98%	QIAgen RNeasy QIAzol	NA	NA	NA
5561	Yes	Human	Testis	youngTeenager	Male	OBIWAN 157 lane 7	14 years post birth	18990366	18883908	99%	QIAgen RNeasy QIAzol	NA	NA	NA
5564	Yes	Human	Testis	youngTeenager	Male	OBIWAN 157 lane 7	14 years post birth	53444908	35487342	66%	QIAgen RNeasy QIAzol	NA	NA	NA
2495	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e10.5	Male	OBIWAN 114 lane  2	10.5 days	15986818	15873344	99%	QIAgen RNeasy DTT	10	NA	NA
2496	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e10.5	Male	OBIWAN 91 lane 8	10.5 days	27683348	27421933	99%	QIAgen RNeasy DTT	10	NA	NA
2579	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e10.5	Male	VADER 184 lane 6	10.5 days	39172840	38717121	99%	QIAgen RNeasy DTT	10	NA	NA
2580	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e10.5	Female	OBIWAN 91 lane 8	10.5 days	41622371	41202832	99%	QIAgen RNeasy DTT	10	NA	NA
2581	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e10.5	Female	OBIWAN 95 lane 5	10.5 days	41188903	40719734	99%	QIAgen RNeasy DTT	9.3	NA	NA
2583	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e10.5	Female	OBIWAN 98 lane 8	10.5 days	31890087	31510586	99%	QIAgen RNeasy DTT	10	NA	NA
2647	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e10.5	Male	WINDU 14 lane 4	10.5 days	29073229	28862416	99%	QIAgen RNeasy QIAzol	8.3	NA	NA
2648	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e10.5	Male	VADER 184 lane 5	10.5 days	35627109	35402847	99%	QIAgen RNeasy QIAzol	8.9	NA	NA
3248	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e10.5	Female	VADER 177 lane 2	10.5 days	38854967	38463064	99%	QIAgen RNeasy QIAzol	8.7	NA	NA
3251	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e10.5	Female	VADER 177 lane 2	10.5 days	30500034	30159102	99%	QIAgen RNeasy QIAzol	8.2	NA	NA
3279	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e10.5	Male	VADER 177 lane 2	10.5 days	32058770	31789647	99%	QIAgen RNeasy QIAzol	9.1	NA	NA
3368	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e10.5	Male	VADER 177 lane 3	10.5 days	38187443	37728788	99%	QIAgen RNeasy QIAzol	9.1	NA	NA
3459	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e10.5	Female	VADER 184 lane 6	10.5 days	39246663	38946485	99%	QIAgen RNeasy QIAzol	9	NA	NA
3460	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e10.5	Female	WINDU 14 lane 6	10.5 days	36029732	35733161	99%	QIAgen RNeasy QIAzol	8.8	NA	NA
3461	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e10.5	Female	OBIWAN 98 lane 8	10.5 days	36177375	35762522	99%	QIAgen RNeasy QIAzol	8.5	NA	NA
2621	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e11.5	Male	OBIWAN 95 lane 2	11.5 days	40351544	39828415	99%	QIAgen RNeasy DTT	10	NA	NA
2622	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e11.5	Male	WINDU 14 lane 2	11.5 days	27913441	27692857	99%	QIAgen RNeasy DTT	7.3	NA	NA
2623	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e11.5	Male	VADER 177 lane 1	11.5 days	50420063	49366624	98%	QIAgen RNeasy DTT	8.8	NA	NA
2624	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e11.5	Male	OBIWAN 95 lane 2	11.5 days	42027950	41499697	99%	QIAgen RNeasy DTT	10	NA	NA
2626	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e11.5	Male	VADER 177 lane 1	11.5 days	34761715	34371793	99%	QIAgen RNeasy DTT	9.3	NA	NA
2937	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e11.5	Female	OBIWAN 95 lane 5	11.5 days	36867509	36334912	99%	QIAgen RNeasy QIAzol	9	NA	NA
2938	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e11.5	Female	WINDU 14 lane 5	11.5 days	28692974	28387873	99%	QIAgen RNeasy QIAzol	8.6	NA	NA
2943	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e11.5	Male	VADER 177 lane 1	11.5 days	34389118	33835476	98%	QIAgen RNeasy QIAzol	9.2	NA	NA
2944	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e11.5	Male	WINDU 14 lane 5	11.5 days	22002853	21771910	99%	QIAgen RNeasy QIAzol	8.6	NA	NA
3031	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e11.5	Female	WINDU 14 lane 5	11.5 days	24779824	24568751	99%	QIAgen RNeasy QIAzol	8.7	NA	NA
3034	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e11.5	Male	VADER 177 lane 2	11.5 days	33293107	32934342	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
3096	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e11.5	Female	OBIWAN 95 lane 6	11.5 days	37781131	37350957	99%	QIAgen RNeasy DTT	9.3	NA	NA
3360	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e11.5	Male	WINDU 14 lane 5	11.5 days	24857291	24589335	99%	QIAgen RNeasy QIAzol	8.7	NA	NA
3361	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e11.5	Male	VADER 177 lane 3	11.5 days	33852552	32938544	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
3362	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e11.5	Male	WINDU 14 lane 6	11.5 days	32840499	32356517	99%	QIAgen RNeasy QIAzol	8.6	NA	NA
3363	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e11.5	Male	VADER 177 lane 3	11.5 days	28977934	28404440	98%	QIAgen RNeasy QIAzol	9.3	NA	NA
3364	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e11.5	Female	OBIWAN 91 lane 7	11.5 days	34186085	33898085	99%	QIAgen RNeasy QIAzol	9.1	NA	NA
3365	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e11.5	Female	VADER 177 lane 3	11.5 days	45948621	45404386	99%	QIAgen RNeasy QIAzol	9.2	NA	NA
3366	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e11.5	Female	WINDU 14 lane 6	11.5 days	24941703	24514082	98%	QIAgen RNeasy QIAzol	9.3	NA	NA
3367	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e11.5	Female	VADER 177 lane 3	11.5 days	42921620	42320625	99%	QIAgen RNeasy QIAzol	9	NA	NA
5603	No	Mouse (CD-1 (RjOrl:SWISS))	Liver	e11.5	Female	WINDU 76 lane 7	11.5 days	29692057	29110641	98%	QIAgen RNeasy DTT	9.8	NA	NA
2945	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e12.5	Male	OBIWAN 95 lane 6	12.5 days	41886077	41335788	99%	QIAgen RNeasy QIAzol	8.8	NA	NA
3036	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e12.5	Male	OBIWAN 91 lane 7	12.5 days	34017922	33497491	98%	QIAgen RNeasy QIAzol	8.5	NA	NA
3037	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e12.5	Male	OBIWAN 95 lane 5	12.5 days	33036250	32647979	99%	QIAgen RNeasy QIAzol	8	NA	NA
3038	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e12.5	Female	OBIWAN 95 lane 6	12.5 days	39386560	38851299	99%	QIAgen RNeasy QIAzol	8.2	NA	NA
3039	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e12.5	Female	VADER 177 lane 2	12.5 days	43202571	42494912	98%	QIAgen RNeasy QIAzol	8.9	NA	NA
3040	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e12.5	Male	OBIWAN 95 lane 6	12.5 days	39634913	39106766	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
3041	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e12.5	Male	WINDU 14 lane 5	12.5 days	28950583	28739614	99%	QIAgen RNeasy QIAzol	8.6	NA	NA
3042	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e12.5	Male	VADER 174 lane 2	12.5 days	42682364	41958661	98%	QIAgen RNeasy QIAzol	8.2	NA	NA
3043	Yes	Mouse (CD-1 (RjOrl:SWISS))	Whole Brain	e12.5	Female	OBIWAN 95 lane 6	12.5 days	42537817	41913590	99%	QIAgen RNeasy QIAzol	8.7	NA	NA
3044	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e12.5	Female	VADER 174 lane 2	12.5 days	33868994	33442418	99%	QIAgen RNeasy QIAzol	8.2	NA	NA
3280	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e12.5	Male	OBIWAN 91 lane 7	12.5 days	34207367	33933132	99%	QIAgen RNeasy QIAzol	8.7	NA	NA
3281	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e12.5	Male	VADER 177 lane 2	12.5 days	30530343	30032560	98%	QIAgen RNeasy QIAzol	8.8	NA	NA
3282	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e12.5	Female	OBIWAN 91 lane 7	12.5 days	33573835	33280335	99%	QIAgen RNeasy QIAzol	9	NA	NA
3283	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e12.5	Female	VADER 177 lane 3	12.5 days	32075242	31578969	98%	QIAgen RNeasy QIAzol	9	NA	NA
3284	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e12.5	Male	WINDU 14 lane 5	12.5 days	47037214	46701367	99%	QIAgen RNeasy QIAzol	9.1	NA	NA
3285	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e12.5	Male	VADER 174 lane 2	12.5 days	30886653	30662248	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
3286	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e12.5	Female	WINDU 14 lane 5	12.5 days	31602828	31203698	99%	QIAgen RNeasy QIAzol	8.8	NA	NA
3287	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e12.5	Female	VADER 174 lane 2	12.5 days	29066840	28730534	99%	QIAgen RNeasy QIAzol	8.8	NA	NA
3502	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e12.5	Female	WINDU 14 lane 6	12.5 days	24997534	24849146	99%	QIAgen RNeasy QIAzol	10	NA	NA
5027	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e12.5	Female	OBIWAN 138 lane 6	12.5 days	24802704	24636387	99%	QIAgen RNeasy DTT	10	NA	NA
2813	Yes	Mouse (CD-1 (RjOrl:SWISS))	Forebrain/Cerebrum	e13.5	Female	OBIWAN 95 lane 3	13.5 days	43996168	43473530	99%	QIAgen RNeasy QIAzol	7.9	NA	NA
2814	Yes	Mouse (CD-1 (RjOrl:SWISS))	Hindbrain/Cerebellum	e13.5	Female	VADER 177 lane 1	13.5 days	39730563	39199747	99%	QIAgen RNeasy QIAzol	8.3	NA	NA
2815	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e13.5	Female	OBIWAN 95 lane 5	13.5 days	35898277	35575325	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
2816	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e13.5	Female	WINDU 3 lane 8	13.5 days	50081343	49619589	99%	QIAgen RNeasy QIAzol	8.2	NA	NA
2817	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e13.5	Female	OBIWAN 95 lane 5	13.5 days	37101948	36772708	99%	QIAgen RNeasy QIAzol	7.9	NA	NA
2818	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e13.5	Female	VADER 177 lane 1	13.5 days	34348352	33905144	99%	QIAgen RNeasy QIAzol	8.6	NA	NA
2821	Yes	Mouse (CD-1 (RjOrl:SWISS))	Forebrain/Cerebrum	e13.5	Male	OBIWAN 92 lane 6	13.5 days	38902613	38397207	99%	QIAgen RNeasy QIAzol	8.5	NA	NA
2822	Yes	Mouse (CD-1 (RjOrl:SWISS))	Hindbrain/Cerebellum	e13.5	Male	OBIWAN 92 lane 6	13.5 days	43592805	43021023	99%	QIAgen RNeasy QIAzol	8.9	NA	NA
2823	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e13.5	Male	OBIWAN 95 lane 5	13.5 days	31505726	31182008	99%	QIAgen RNeasy QIAzol	8.1	NA	NA
2826	Yes	Mouse (CD-1 (RjOrl:SWISS))	Testis	e13.5	Male	VADER 177 lane 1	13.5 days	34701118	34163123	98%	QIAgen RNeasy QIAzol	9.1	NA	NA
2829	Yes	Mouse (CD-1 (RjOrl:SWISS))	Forebrain/Cerebrum	e13.5	Female	OBIWAN 92 lane 7	13.5 days	40152991	39561187	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
2830	Yes	Mouse (CD-1 (RjOrl:SWISS))	Hindbrain/Cerebellum	e13.5	Female	OBIWAN 92 lane 7	13.5 days	48930644	48145848	98%	QIAgen RNeasy QIAzol	8.6	NA	NA
2831	Yes	Mouse (CD-1 (RjOrl:SWISS))	Heart	e13.5	Female	OBIWAN 116 lane 8	13.5 days	39920029	39645605	99%	QIAgen RNeasy QIAzol	8.5	NA	NA
2832	Yes	Mouse (CD-1 (RjOrl:SWISS))	Liver	e13.5	Female	VADER 174 lane 2	13.5 days	40256057	39662656	99%	QIAgen RNeasy QIAzol	8.1	NA	NA
2833	Yes	Mouse (CD-1 (RjOrl:SWISS))	Kidney	e13.5	Female	OBIWAN 116 lane 8	13.5 days	17947884	17873399	100%	QIAgen RNeasy QIAzol	9	NA	NA
2834	Yes	Mouse (CD-1 (RjOrl:SWISS))	Ovary	e13.5	Female	OBIWAN 92 lane 7	13.5 days	51401788	50588825	98%	QIAgen RNeasy QIAzol	9.3	NA	NA
2837	Yes	Mouse (CD-1 (RjOrl:SWISS))	Forebrain/Cerebrum	e13.5	Male	OBIWAN 92 lane 7	13.5 days	35578931	35166093	99%	QIAgen RNeasy QIAzol	8.4	NA	NA
2838	Yes	Mouse (CD-1 (RjOrl:SWISS))	Hindbrain/Cerebellum	e13.5	Male	OBIWAN 92 lane 7	13.5 days	39079990	38595918	99%	QIAgen RNeasy QIAzol	8.2	NA	NA
